state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Number of Workers,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Notes
Louisiana,Renaissance New Orleans,New Orleans,,07/21/2020,,,Hospitality,Louisiana,76,05/20/2020,,,,
Louisiana,Renaissance New Orleans,New Orleans,,07/21/2020,,,Hospitality,Louisiana,63,05/20/2020,,,,
Louisiana,Louisiana Riverboat Gaming Partnership dba Diamond Jacks Casino & Hotel,Bossier City,,05/22/2020,,,Casino,Louisiana,349,05/15/2020,,,,
Louisiana,Enterprise Rent-A-Car,Metairie,,04/30/2020,,,Rental Services,Louisiana,13,04/30/2020,,,,
Louisiana,Benteler Steel/Tube Manufacturing Corp.,Shreveport,,07/01/2020,,,Manufacturing,Louisiana,375,04/30/2020,,,,
Louisiana,Graphic Packaging,West Monroe,,06/13/2020,,,Paper Mill,Louisiana,56,04/29/2020,,,,
Louisiana,GE Gas Power,New Orleans,,06/29/2020,,,Technology,Louisiana,71,04/29/2020,,,,
Louisiana,GE Aviation,New Orleans,,06/29/2020,,,Technology,Louisiana,31,04/29/2020,,,,
Louisiana,Enterprise Rent-A-Car,Kenner,,04/30/2020,,,Rental Services,Louisiana,27,04/29/2020,,,,
Louisiana,Enterprise Rent-A-Car,Kenner,,04/30/2020,,,Rental Services,Louisiana,9,04/29/2020,,,,
Louisiana,Enterprise Rent-A-Car,Baton Rouge,,04/30/2020,,,Rental Services,Louisiana,2,04/29/2020,,,,
Louisiana,Ensco Offshore Company,Offshore Gulf of Mexico,,05/30/2020,,,Oil & Gas,Louisiana,,04/23/2020,,,,
Louisiana,Aptim Maintenance (Cheniere Energy),Cameron,,04/27/2020,,,Support Services,Louisiana,122,04/23/2020,,,,
Louisiana,Harrah's Louisiana Downs,Bossier City,,03/31/2020,,,Casino,Louisiana,201,04/22/2020,,,,
Louisiana,Cactus Wellhead,Bossier City,,04/01/2020,,,Oil & Gas,Louisiana,67,04/22/2020,,,,
Louisiana,Horseshow Entertainment,Bossier City,,03/31/2020,,,Casino,Louisiana,978,04/22/2020,,,,
Louisiana,Turner Industries - Pipe Fabrication,Port Allen,,06/26/2020,,,Construction,Louisiana,350,04/21/2020,,,,
Louisiana,ASRC Energy Services Omega,Iberia,,06/05/2020,,,Oil & Gas,Louisiana,180,04/17/2020,,,,
Louisiana,Halliburton Energy Services,Broussard,,04/14/2020,,,Oil & Gas,Louisiana,36,04/14/2020,,,,
Louisiana,Cypress Grove Behvavioral Health,Monroe,,05/01/2020,,,Individual & Family Services,Louisiana,139,04/03/2020,,,,
Louisiana,"Coast Professional, Inc.",Monroe,,04/03/2020,,,Call Center,Louisiana,13,04/03/2020,,,,
Louisiana,Alsco Inc.,Shreveport,,03/18/2020,,,Linen & Laundry Service,Louisiana,41,04/02/2020,,,,
Louisiana,Cinemark,Stateiwde,,03/26/2020,,,Entertainment,Louisiana,237,04/01/2020,,,,
Louisiana,Dolet Hills Lignite,Pelican,,06/05/2020,,,Mining,Louisiana,100,03/30/2020,,,,
Louisiana,Lalumina,Burnside,,05/24/2020,,,Manufacturing,Louisiana,302,03/29/2020,,,,
Louisiana,"Coast Professional, Inc.",West Monroe,,03/20/2020,,,Call Center,Louisiana,98,03/27/2020,,,,
Louisiana,"Coast Professional, Inc.",West Monroe,,03/20/2020,,,Call Center,Louisiana,82,03/27/2020,,,,
Louisiana,Wemco,St. Rose,,03/23/2020,,,Wholesale,Louisiana,136,03/27/2020,,,,
Louisiana,Aptim Maintenance (Placid Refining),Port Allen,,03/22/2020,,,Support Services,Louisiana,112,03/10/2020,,,,
Louisiana,Waitr,Statewide,,04/06/2020,,,Food Service Delivery,Louisiana,2300,02/06/2020,,,,
Louisiana,Fort Dearborn Company,Harahan,,02/06/2020,,,Commercial Printing (Except Screen & Books),Louisiana,101,12/06/2019,,,,
Louisiana,Wyndham Garden Hotel,Baton Rouge,,01/30/2020,,,Hotel,Louisiana,28,11/19/2019,,,,
Louisiana,Jotun Paints Inc.,Belle Chase,,12/31/2019,,,Manufacturing,Louisiana,53,10/30/2019,,,,
Louisiana,Bayou Steel,LaPlace,,11/30/2019,,,Manufacturing,Louisiana,376,09/30/2019,,,,
