state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Number of Workers,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Notes
Kentucky,Kelly Services-Kenton Co,,,06/02/2017,,,Northern Kentucky | Kenton County | 561320,Kentucky,36,04/03/2017,Closure,,,
Kentucky,General Electric Company Somerset Glass Plant Lighting,,,05/26/2017,,,Cumberlands | Pulaski County | 335110,Kentucky,63,04/03/2017,Closure,,,
Kentucky,Sypris Technologies,,,05/10/2017,,,Kentuckiana Works | Jefferson County - Louisville | 336390,Kentucky,,03/10/2017,Layoff,,,
Kentucky,Conduent Incorporated,,,04/12/2017,,,EKCEP | Knox County | 518210,Kentucky,62,02/13/2017,Layoff,,,
Kentucky,Nasty Gal Inc,,,04/10/2017,,,Kentuckiana Works | Bullitt County | 493110,Kentucky,70,02/13/2017,Closure,,,
Kentucky,Penske Vehicle Services Inc.,,,04/01/2017,,,South Central | Warren County | 532120,Kentucky,1,01/31/2017,Layoff,,,
Kentucky,ZOO PRINTING,,,06/30/2017,,,Kentuckiana Works | Jefferson County - Louisville | 323111,Kentucky,88,01/25/2017,Closure,,,
Kentucky,Toyota Motor Engineering & Manufacturing,,,01/03/2017,,,Northern Kentucky | Boone | 336111,Kentucky,648,12/12/2016,Closure,,,
Kentucky,Vantiv,,,03/31/2017,,,KentuckianaWorks | Jefferson | 522390,Kentucky,200,11/17/2016,Closure,,,
Kentucky,Experience Works,,,01/30/2017,,,EKCEP | Lee | 624310,Kentucky,31,11/07/2016,Closure,,,
Kentucky,Harman International Industries,,,01/09/2017,,,South Central | Simpson | 333430,Kentucky,215,11/07/2016,Layoff,,,
Kentucky,Meadowview Rehab & Wellness,,,11/27/2016,,,Kentuckianaworks | Jefferson | 6231,Kentucky,124,09/27/2016,Closure,,,
Kentucky,Glenview Healthcare & Rehabilitation Center,,,11/27/2016,,,Kentuckianaworks | Jefferson | 6231,Kentucky,83,09/27/2016,Closure,,,
Kentucky,Gerdau Ameristeel US Inc.-Calvert City Mill,,,11/15/2016,,,Western Kentucky | Marshall | 33111,Kentucky,138,09/15/2016,Closure,,,
Kentucky,Alpha Natural Resources - Sidney Coal Company LLC,,,12/16/2016,,,EKCEP | Pike | 21,Kentucky,117,09/08/2016,Layoff,,,
Kentucky,St. Catherine College,,,07/31/2016,,,Lincoln Trail | Washington | 611310,Kentucky,120,06/10/2016,Closure,,,
Kentucky,Spurlock Mining LLC,,,08/07/2016,,,EKCEP | Floyd | 212112,Kentucky,203,06/09/2016,Closure,,,
Kentucky,Federal-Mogul Motorparts,,,08/01/2016,,,TENCO | Mason | 423130,Kentucky,110,06/06/2016,Closure,,,
Kentucky,General Product's,,,07/01/2016,,,South Central | Logan | 441310,Kentucky,47,06/03/2016,Closure,,,
Kentucky,Kindred Nursing and Rehabilitation,,,08/01/2016,,,Kentuckianaworks | Jefferson | 6231,Kentucky,152,06/01/2016,Closure,,,
Kentucky,Tantus Tobacco LLC,,,08/01/2016,,,Cumberlands | Russell | 312230,Kentucky,87,05/31/2016,Layoff,,,
Kentucky,Affinity Apparel,,,07/25/2016,,,TENCO | Montgomery | 448190,Kentucky,,05/27/2016,Layoff,,,
Kentucky,"ADP Benefits KY, Inc.",,,07/22/2016,,,Kentuckianaworks | Jefferson,Kentucky,110,05/24/2016,Closure,,,
Kentucky,Whayne Supply Company,,,07/15/2016,,,Cumberlands | Whitley | 423810,Kentucky,,05/13/2016,Layoff,,,
Kentucky,Remington Outdoor Company,,,07/29/2016,,,Western Kentucky | Graves | 332994,Kentucky,189,05/06/2016,Closure,,,
Kentucky,Armstrong Coal- Parkway underground mine,,,06/22/2016,,,Western Kentucky | Muhlenberg | 212,Kentucky,86,04/29/2016,Closure,,,
Kentucky,Armstrong Coal- Parkway Preparation Plant,,,06/22/2016,,,Western Kentucky | Muhlenberg | 212,Kentucky,20,04/29/2016,Closure,,,
Kentucky,KeyTronicEMS,,,06/22/2016,,,Bluegrass | Mercer | 334419,Kentucky,73,04/28/2016,Closure,,,
Kentucky,IPSCO Tubluars (KY) Inc.,,,06/22/2016,,,Northern Kentucky | Campbell | 425120,Kentucky,113,04/26/2016,Layoff,,,
Kentucky,Johnson Controls Inc.,,,06/30/2016,,,Kentuckianaworks | Shelby | 336390,Kentucky,122,04/21/2016,Closure,,,
Kentucky,Dana Commercial Vehicle Manufacturing LLC,,,06/30/2016,,,South Central | Barren | 336350,Kentucky,191,04/19/2016,Closure,,,
Kentucky,"Verso Corporation Wickliffe Mill , Beaver Dam Woodyard & Eddyville Woodyard",,,06/04/2016,,,Western Kentucky | Ballard | 322121,Kentucky,425,04/08/2016,Closure,,,
Kentucky,IPSCO Tubluars (KY) Inc.,,,05/31/2016,,,Northern Kentucky | Campbell | 425120,Kentucky,6,04/05/2016,Layoff,,,
Kentucky,"Sodexo,Inc.",,,05/27/2016,,,Kentuckianaworks | Jefferson | 722310,Kentucky,215,04/04/2016,Closure,,,
Kentucky,Lexmark International Inc,,,05/25/2016,,,Bluegrass | Fayette | 33318,Kentucky,143,03/23/2016,Layoff,,,
Kentucky,Firstsource Group USA-REVISED,,,05/19/2016,,,Kentuckianaworks | Jefferson | 561110,Kentucky,282,03/21/2016,Closure,,,
Kentucky,Innotrac L.P.'s Facility,,,05/11/2016,,,Northern Kentucky | Boone | 541614,Kentucky,338,03/09/2016,Closure,,,
Kentucky,Carmeuse Lime & Stone -Maysville Operation,,,03/11/2016,,,TENCO | Mason | 212312,Kentucky,76,03/07/2016,Layoff,,,
Kentucky,Convergys Corporation,,,04/30/2016,,,Northern Kentucky | Kenton | 541613,Kentucky,94,03/03/2016,Closure,,,
Kentucky,IPSCO Tubulars (KY) Inc.,,,04/29/2016,,,Northern Kentucky | Campbell | 425120,Kentucky,6,03/02/2016,Layoff,,,
Kentucky,Delta Air Lines,,,05/01/2016,,,Northern Kentucky | Boone | 488119,Kentucky,305,02/25/2016,Layoff,,,
Kentucky,Hearth & Home Technologies,,,05/15/2016,,,Bluegrass | Bourbon | 333414,Kentucky,229,02/22/2016,Closure,,,
Kentucky,Hopkins County Coal LLC,,,04/05/2016,,,Western Kentucky | Hopkins | 212112,Kentucky,253,02/05/2016,Closure,,,
Kentucky,Warrior Coal LLC,,,04/05/2016,,,Western Kentucky | Hopkins | 212112,Kentucky,150,02/05/2016,Closure,,,
