state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Tennessee,Premiere Building Maintenance Corporation,Knox,2/3/2026,3/31/2026,154,#202500032,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Premiere-Building-Maintenance.pdf
Tennessee,DLH Solutions,Rutherford,1/30/2026,3/31/2026,209,#202500031,https://www.tn.gov/content/dam/tn/workforce/documents/warn/DLH-Solutions.pdf
Tennessee,Danfoss Power Solutions,Bradley,1/30/2026,4-1-2026 through October 2026,100,#202500030,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Danfoss-Power-Solutions.pdf
Tennessee,"NIKE Retail Services, Inc.",Shelby,1/27/2026,4-3-2026,583,#202500029,https://www.tn.gov/content/dam/tn/workforce/documents/warn/NIKE-Retail-Services.pdf
Tennessee,"Music City Delivery, LLC",Williamson,1/26/2026,4-2-2026,98,#202500028,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Music-City-Delivery.pdf
Tennessee,"Smoky Mountain Logistics, LLC",Wilson,1/26/2026,3-24-2026,100,#202500026,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Smoky-Mountain-Logistics-LLC.pdf
Tennessee,Linamar Shelbyville,Bedford,1/13/2026,3-20-2026 / 7-24-2026 to 7-31-2026,80,#202500027,https://www.tn.gov/content/dam/tn/workforce/documents/warn/Linamar-Shelbyville.pdf
Tennessee,"US Endodontics, LLC",Washington,12/30/2025,2/27/2026,70,#202500025,https://www.tn.gov/content/dam/tn/workforce/archive/documents/warn/US-Endodontics%20LLC-WARN-Letter.pdf
Tennessee,Archer Daniels Midland Company,Shelby,12/19/2025,1/30/2026,95,#202500024,https://www.tn.gov/content/dam/tn/workforce/archive/documents/warn/Archer-Daniels-Midland-TDLWD-WARN-Letter.pdf
Tennessee,JTEKT North America Corporation,Washington,12/4/2025,8/31/2026,136,#202500023,https://www.tn.gov/content/dam/tn/workforce/archive/documents/warn/JTEKT-North-America-WARN-Letter.pdf
Tennessee,Kroger Fulfillment Network LLC,Davidson,12/3/2025,2/1/2026,132,#202500022,https://www.tn.gov/content/dam/tn/workforce/archive/documents/warn/Kroger-Fulfillment-Network-WARN-Letter.pdf
Tennessee,ABC Technologies,Sumner,11/17/2025,11/24/2025,85,#202500021,https://www.tn.gov/content/dam/tn/workforce/archive/documents/warn/ABC-Technologies-WARN-Letter.pdf
Tennessee,Edgewell Personal Care,Knox,11/14/2025,6/1/2026,132,#202500020,https://www.tn.gov/content/dam/tn/workforce/archive/documents/warn/Edgewell-Personal-Care-WARN-Letter.pdf
Tennessee,Renova Health LLC,Sullivan,11/7/2025,10/24/2025,80,#202500019,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Renova-Health-TDLWD-WARN-Letter.pdf
Tennessee,"Creative Dining Services, Inc.",Chester,11/7/2025,12/13/2025,100,#202500018,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Creative-Dining-Services-TDLWD-WARN-Letter.pdf
Tennessee,GM - Ultium Cells Facility,Maury,10/30/2025,1/5/2026,710,#202500017,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/GM-Ultium-Cells-Facility-TDLWD-WARN-Letter.pdf
Tennessee,NTT Data,Davidson,10/30/2025,12/31/2025,108,#202500015,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/NTT-Data-TDLWD-WARN-Letter.pdf
