state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
New York,"Rapid Reliable Care by DocGo, LLC. d/b/a Rapid Reliable Care; DocGo","685 Third Avenue, 9th Floor","February 27, 2025",,360,,Kings
New York,"F21 OpCO, LLC. d/b/a Forever 21","110 E. 9th Street, Suite A500","February 19, 2025",,99,,New York
New York,"NEP Group, Inc.",2 Beta Drive,"March 1, 2025","June 2, 2025",26,Contract Expiration,New York
New York,TL Cannon Management Corp. d/b/a Applebee’s,"180 Lawrence Bell Drive, Suite100","February 24, 2025",,10,,Tompkins
New York,"Cold Spring Acquisition, LLC d/b/a Cold Spring Hills Center for Nursing and Rehabilitation",378 Syosset-Woodbury Road,"December 17, 2024",,490,,Nassau
New York,"Eaglestone, LLC, Eaglestone Holdings, LLC, Eaglestone Intermediate Holdings, LLC, and","Eaglestone Shared Services, LLC.","February 7, 2025",,6,,New York
New York,"Institute of International Education, Inc.",One World Trade Center,"March 7, 2025","March 7, 2025",2,Funding Loss,New York
New York,"Marquardt Switches, Inc.",2711 US-20,"October 1, 2024","December 31, 2024",8,Economic,Madison
New York,"Northern Lights Enterprises, Inc. d/b/a Northern Lights Candles",3474 Andover Road,"February 26, 2025","February 26, 2025",38,Relocation of Specific Business Operations,Allegany
New York,"Startek USA, Inc.","4610 South Ulster St., Suite 150","January 31, 2025","April 30, 2025",151,Contract Loss,New York
New York,"Tri Cor Direct Incorporated, an affiliate of Brady Corporation",2491 Wehrle Drive,"February 27, 2025",,112,,Erie
New York,"EEDU, LLC.",800 Riverwalk Parkway,"March 5, 2025",,129,,Erie
New York,"Pace Field Services, LLC.",41 Box Street,"February 6, 2025",,57,,Kings
New York,"UltraVolt, Inc., a wholly owned subsidiary of Advanced Energy Industries, Inc.",1800 Ocean Ave.,"October 29, 2024",,43,,Suffolk
New York,"SpencerARL New York, Inc.",31 Area Development Dr.,"July 9, 2024",,111,,Clinton
New York,The College of Saint Rose,432 Western Avenue,"February 15, 2024",,646,,Albany
New York,"Catholic Charities of Orange, Sullivan & Ulster (CCOSU)",27 Matthews Street,"February 19, 2025","May 23, 2025",33,"Economic, Other",Orange
New York,"The Pace Companies New York, Inc.",41 Box Street,"February 6, 2025",,39,,Kings
New York,"Pinnacle Thermal Solutions, LLC.",41 Box Street,"February 6, 2025",,4,,Kings
New York,"SpencerARL New York, Inc.",31 Area Development Dr.,"July 9, 2024",,111,,Clinton
New York,"Staffing Boutique, Inc.","99 Hudson Street, 5th Floor","January 27, 2025",,239,,New York
New York,"Air Products and Chemicals, Inc.",1940 Air Products Blvd.,"January 30, 2025",,28,,Erie
New York,Pace Plumbing Corporation,41 Box Street,"February 6, 2025",,214,,Kings
New York,"Watson Hotel Operator, LLC. d/b/a The Watson Hotel",440 West 57th Street,"January 21, 2025","March 31, 2025",79,Contract Termination,New York
New York,"Church World Service, Inc.",475 Riverside Dr. #700,"January 31, 2025","January 31, 2025",151,Funding Loss,New York
New York,"Mulligan Security, LLC.","7 Penn Plaza, Suite 200","January 31, 2025",,409,,Kings
New York,"Frito-Lay, Inc.",89 Mill Street,"February 18, 2025",,287,,Sullivan
New York,"Barrette Outdoor Living, Inc.",231 Ship Canal Parkway,"February 3, 2025",,93,,Erie
New York,Parsons Corporation,"100 Broadway, 20th Floor","January 26, 2024","May 10, 2024",49,Contract Expiration,New York
New York,Parsons Corporation,"100 Broadway, 20th Floor","January 26, 2024","May 10, 2024",48,Contract Expiration,New York
New York,"Macy’s Retail Holdings, Inc.",145 Progress Place,"January 9, 2025",,127,,Monroe
New York,"Marquardt Switches, Inc.",2711 US-20,"October 1, 2024","December 31, 2024",5,Economic,Madison
New York,"Mulligan Security, LLC.","7 Penn Plaza, Suite 200","January 31, 2025",,409,,Kings
New York,"Poly-Pak Industries Group, LLC.",125 Spagnoli Road,"January 29, 2025",,146,,Suffolk
New York,"QuantumScape Battery, Inc.",1730 Technology Drive,"January 28, 2025","January 28, 2025",1,Economic,Suffolk
New York,"BAMIA 2, LLC. d/b/a Reef Technology",501 Brickell Key Dr. Ste. 601,"July 1, 2024",,53,,Bronx
New York,"YANWA, LLC.","1181 Tinton Avenue, Apt. 3B","November 27, 2024",,74,,Kings
New York,"Evans Bank, National Association",6460 Main Street,"January 23, 2025","May 2, 2025",64,Merger,Erie
New York,"Crescent Duck Farm, Inc.",10 Edgar Ave.,"January 16, 2025",,45,,Suffolk
New York,"Barrie House Coffee Company, LLC.",4 Warehouse Lane,"January 10, 2025",,39,,Westchester
New York,"Publishers Clearing House, LLC","7 West 22nd Street, 10th Floor","January 15, 2025","April 18, 2025",50,Economic,Nassau
New York,"Semikron Danfoss, LLC.",330 Technology Drive,"December 18, 2024","November 1, 2024",43,Contract Loss,Oneida
New York,"Exel, Inc. d/b/a DHL Supply Chain (USA)",360 Westar Blvd.,"January 13, 2025",,116,,Richmond
New York,"LiveIntent, Inc.","1 World Trade Center, 45th Floor","October 21, 2024","October 21, 2024",35,Merger,New York
New York,"Amscan Inc., a Party City Holdings, Inc.",47 Elizabeth Drive,"December 20, 2024",,524,,Orange
New York,57th Street Associates d/b/a Rue 57,60 West 57th Street,"January 9, 2025",,60,,New York
New York,"Venture Forthe, Inc.",3900 Packard Rd.,"December 31, 2024","March 31, 2025",280,Contract Loss,Niagara
New York,"Barrie House Coffee Company, LLC.",4 Warehouse Lane,"January 10, 2025",,39,,Westchester
New York,The College of Saint Rose,432 Western Avenue,"February 15, 2024",,646,,Albany
New York,"HTx Services, L.L.C.","1 Fairchild Court, Suite 200","December 27, 2024",,86,,Nassau
New York,"East 54 Hotel Management, LLC. d/b/a Hotel Elysee",60 East 54th Street,"December 20, 2024",,49,,New York
New York,"Legends Hospitality, LLC.",450 West 33rd Street,"January 2, 2025",,68,,New York
New York,Public Health Solutions,"40 Worth Street, 4th floor","January 6, 2025",,31,,Kings
New York,"CINQ NY Health Home IPA, LLC","2300 N. Street NW, Suite 200","January 6, 2025","April 7, 2025",51,Other,Erie
New York,"Cold Spring Acquisition, LLC d/b/a Cold Spring Hills Center for Nursing and Rehabilitation",378 Syosset-Woodbury Road,"December 17, 2024",,490,,Nassau
New York,"IPRO (Island Peer Review Organization, Inc.)","1979 Marcus Avenue, Suite 105","July 15, 2024",,128,Contract Expiration,Suffolk
New York,Paramount Global,1515 Broadway,"February 13, 2024","May 17, 2024",1192,Economic,New York
New York,Paramount Global,1515 Broadway,"February 13, 2024","May 17, 2024",1178,Economic,New York
New York,"DOTC Delivery, LLC.",3537 36th Street,"April 29, 2024",,99,,Queens
