state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,source_entry_url
Georgia,Asama Coldwater Manufacturing Georgia LLC,,07/09/2026,,107,,GA202600001,https://www.tcsg.edu/warn-public-view/entry/83061/
Georgia,"Home Express Delivery Service, LLC",,07/14/2026,,92,,GA202600002,https://www.tcsg.edu/warn-public-view/entry/83150/
Georgia,"TEKsystems Global Services, LLC",,07/15/2026,,126,,GA202600003,https://www.tcsg.edu/warn-public-view/entry/83182/
Georgia,Elite Comfort Solutions,,07/20/2026,,102,,GA202600004,https://www.tcsg.edu/warn-public-view/entry/83243/
Georgia,"Wellstar Health System, Inc.",,08/03/2026,,761,,GA202600005,https://www.tcsg.edu/warn-public-view/entry/83857/
Georgia,Essendant,,08/04/2026,,192,,GA202600007,https://www.tcsg.edu/warn-public-view/entry/83895/
Georgia,"80 Acres Urban Agriculture, Inc",,08/05/2026,,110,,GA202600006,https://www.tcsg.edu/warn-public-view/entry/83901/
Georgia,SMBC Manubank,,08/12/2026,,5,,GA202600008,https://www.tcsg.edu/warn-public-view/entry/84050/
Georgia,Meyn Americas,,08/18/2026,,150,,GA202600010,https://www.tcsg.edu/warn-public-view/entry/84163/
Georgia,Anchor Glass Container Corporation,,08/18/2026,,168,,GA202600009,https://www.tcsg.edu/warn-public-view/entry/84177/
Georgia,Asama Coldwater Manufacturing Georgia,,08/19/2026,,102,,GA202600011,https://www.tcsg.edu/warn-public-view/entry/84198/
Georgia,KidsPeace National Centers of Georgia,,08/25/2026,,95,,GA202600016,https://www.tcsg.edu/warn-public-view/entry/84315/
Georgia,"Republic National Distributing Company of Texas, LLC",,08/26/2026,,157,,GA202600012,https://www.tcsg.edu/warn-public-view/entry/84342/
Georgia,"Republic National Distributing Company, LLC",,08/26/2026,,321,,GA202600013,https://www.tcsg.edu/warn-public-view/entry/84343/
Georgia,"Young's Market Company of Arizona, LLC",,08/26/2026,,2,,GA202600014,https://www.tcsg.edu/warn-public-view/entry/84344/
Georgia,"Young's Market Company, LLC",,08/26/2026,,78,,GA202600015,https://www.tcsg.edu/warn-public-view/entry/84345/
Georgia,"FPL Food, LLC",,08/31/2026,,179,,GA202600017,https://www.tcsg.edu/warn-public-view/entry/85368/
Georgia,Amentum,,09/04/2026,,77,,GA202600018,https://www.tcsg.edu/warn-public-view/entry/90928/
